Overall rank,name,gdp,sex_ratio,surface_area,life_expectancy_male,unemployment,homicide_rate,secondary_school_enrollment_female,employment_agriculture,co2_emissions,tourists,life_expectancy_female,post_secondary_enrollment_female,post_secondary_enrollment_male,infant_mortality,gdp_growth,threatened_species,population,urban_population,secondary_school_enrollment_male,pop_growth,pop_density,internet_users,gdp_per_capita,fertility
1,Finland,276878.0,97.3,338440.0,78.8,6.7,1.6,161.5,3.5,42.6,3224.0,84.5,95.7,81.0,1.7,1.7,61.0,5541.0,85.4,146.8,0.2,18.2,88.9,50135.7,1.5
2,Denmark,355675.0,98.9,42921.0,78.7,4.8,1.0,129.8,2.1,31.3,12749.0,82.7,93.6,68.4,3.1,2.4,77.0,5792.0,88.0,128.4,0.4,136.5,97.3,61833.7,1.8
3,Norway,434167.0,102.2,386194.0,80.2,3.3,0.5,114.2,2.0,34.8,5688.0,84.2,98.7,66.3,2.1,1.3,115.0,5421.0,82.6,119.4,0.8,14.8,96.5,81335.7,1.7
4,Iceland,25882.0,100.9,103000.0,81.2,3.2,0.9,116.9,3.8,2.2,2344.0,84.3,94.4,50.6,1.3,4.6,36.0,341.0,93.9,118.1,0.7,3.4,99.0,76867.3,1.8
5,Netherlands,914105.0,99.3,41542.0,80.3,3.0,0.6,136.5,2.0,155.6,18780.0,83.8,90.9,79.3,2.5,2.6,71.0,17135.0,91.9,134.7,0.2,508.2,94.7,53583.1,1.7
6,Switzerland,705141.0,98.5,41291.0,81.6,4.8,0.6,100.2,2.9,37.1,10362.0,85.4,60.3,58.8,3.4,2.8,128.0,8655.0,73.8,104.7,0.8,219.0,89.7,82708.5,1.5
7,Sweden,556086.0,100.4,438574.0,80.8,6.7,1.1,157.9,1.6,37.6,7440.0,84.4,82.1,52.7,2.0,2.2,98.0,10099.0,87.7,148.1,0.7,24.6,92.1,55766.8,1.8
8,New Zealand,207921.0,96.7,268107.0,80.3,4.0,0.7,118.2,5.6,32.2,3686.0,83.8,97.2,67.9,3.8,2.8,261.0,4822.0,86.6,111.1,0.9,18.3,90.8,43836.2,1.9
9,Canada,1712562.0,98.5,9984670.0,80.2,5.4,1.8,114.5,1.4,547.8,21134.0,84.2,79.3,59.1,4.5,1.9,173.0,37742.0,81.5,113.0,0.9,4.2,91.0,46192.4,1.5
10,Austria,455508.0,97.2,83871.0,78.9,4.8,1.0,98.3,3.5,64.9,30816.0,83.8,92.5,78.1,3.2,2.4,185.0,9006.0,58.5,102.5,0.7,109.3,87.5,51230.3,1.5
11,Australia,1453871.0,99.2,7692060.0,81.2,5.3,0.9,141.2,2.5,384.6,9246.0,85.2,133.3,93.8,3.1,2.0,1308.0,25500.0,86.1,159.0,1.3,3.3,86.5,58392.7,1.8
12,Costa Rica,60126.0,99.8,51100.0,77.4,12.7,11.3,137.7,11.9,7.6,3017.0,82.7,60.7,50.0,7.3,2.7,363.0,5094.0,80.1,128.1,1.0,99.8,74.1,12026.5,1.8
13,Israel,370588.0,99.1,22072.0,81.0,3.8,1.5,106.0,0.9,63.8,4121.0,84.3,74.5,52.8,2.7,3.4,207.0,8656.0,92.5,104.2,1.6,400.0,83.7,44214.9,3.0
14,Luxembourg,70920.0,102.3,2586.0,79.8,5.2,0.3,104.8,1.0,8.6,1018.0,84.2,20.1,18.2,2.9,3.1,16.0,626.0,91.2,102.6,2.0,241.7,97.1,117369.5,1.4
15,United Kingdom,2855297.0,97.7,242495.0,79.4,4.1,1.2,127.7,1.0,358.7,36316.0,82.9,69.4,51.0,3.8,1.4,176.0,67886.0,83.7,124.1,0.6,280.6,94.9,42526.4,1.8
16,Ireland,382674.0,98.6,69797.0,80.4,5.2,0.9,124.3,4.5,35.7,10926.0,83.7,82.0,73.7,2.7,8.2,79.0,4938.0,63.4,126.3,1.2,71.7,84.5,79414.6,1.8
17,Germany,3949549.0,97.8,357376.0,78.7,3.0,0.9,95.2,1.2,718.8,38881.0,83.6,70.7,69.8,3.2,1.5,200.0,83784.0,77.4,101.4,0.5,240.4,89.7,47513.7,1.6
18,Belgium,543026.0,98.3,30528.0,79.0,5.7,1.7,167.8,0.9,90.4,9119.0,83.7,90.5,69.3,2.8,1.5,66.0,11590.0,98.0,149.7,0.5,382.7,88.7,47293.0,1.7
19,United States,20580223.0,97.9,9833517.0,76.3,3.9,5.0,98.7,1.3,4761.3,79746.0,81.3,102.0,75.0,5.8,2.9,1655.0,331003.0,82.5,99.2,0.6,36.2,87.3,62917.9,1.8
20,Czech Republic,245226.0,97.0,78868.0,76.5,1.9,0.6,103.9,2.6,101.7,13665.0,81.8,75.3,53.4,2.3,3.0,104.0,10709.0,73.9,103.1,0.2,138.6,80.7,22992.1,1.6
21,United Arab Emirates,414179.0,223.8,83600.0,77.1,2.4,0.5,100.4,1.4,196.5,21286.0,79.1,,,5.5,1.7,69.0,9890.0,86.8,109.3,1.3,118.3,98.4,43005.0,1.4
22,Malta,14549.0,100.6,315.0,80.4,3.4,1.6,104.7,0.9,1.5,2599.0,84.1,63.2,46.0,5.0,6.6,49.0,442.0,94.7,104.8,0.4,1379.8,81.7,33122.8,1.4
23,Mexico,1223401.0,95.8,1964375.0,72.1,3.6,29.1,108.2,12.4,446.0,41313.0,77.8,40.6,39.8,13.5,2.0,1656.0,128933.0,80.4,100.7,1.1,66.3,65.8,9694.9,2.1
24,France,2778892.0,93.8,551500.0,79.4,8.3,1.2,104.1,2.4,306.1,89322.0,85.4,72.8,58.7,3.0,1.7,366.0,65274.0,80.7,103.5,0.3,119.2,82.0,41358.1,1.9
26,Chile,298231.0,97.3,756102.0,77.4,7.1,4.4,102.0,8.8,86.1,5723.0,82.3,94.7,82.5,6.7,4.0,240.0,19116.0,87.6,101.6,1.2,25.7,82.3,15923.4,1.6
27,Guatemala,78461.0,97.1,108889.0,71.0,2.5,22.5,51.4,31.3,15.7,1781.0,76.8,23.6,20.0,20.7,3.1,352.0,17916.0,51.4,54.0,1.9,167.2,65.0,4549.0,2.9
28,Saudi Arabia,782483.0,137.1,2206714.0,73.7,5.9,1.3,106.8,2.3,532.2,15334.0,76.5,69.9,66.3,6.3,2.2,144.0,34814.0,84.1,113.2,1.9,16.2,93.3,23217.2,2.3
29,Qatar,191362.0,302.4,11607.0,78.9,0.1,0.4,102.7,1.2,80.1,1819.0,81.8,54.9,7.0,6.3,1.5,50.0,2881.0,99.2,108.3,2.3,248.2,99.7,68793.7,1.9
30,Spain,1419735.0,96.6,505944.0,80.6,13.0,0.6,126.9,4.0,253.4,82773.0,86.0,97.0,81.1,2.3,2.4,752.0,46755.0,80.6,125.2,0.0,93.7,86.1,30405.8,1.3
31,Panama,65055.0,100.2,75320.0,75.1,3.8,9.4,78.3,13.7,9.6,1785.0,81.5,58.6,37.3,14.1,3.7,400.0,4315.0,68.1,74.1,1.7,58.0,57.9,15575.1,2.5
32,Brazil,1868613.0,96.6,8515767.0,71.9,12.0,27.4,102.4,9.1,427.6,6621.0,79.3,59.4,43.5,13.0,1.1,1078.0,212559.0,86.8,99.3,0.8,25.4,70.4,8920.7,1.7
33,Uruguay,59597.0,93.5,173626.0,73.9,8.8,12.1,126.6,7.9,5.9,3469.0,81.3,58.0,34.5,8.7,1.6,116.0,3474.0,95.4,114.1,0.4,19.8,74.8,17278.1,2.0
34,Singapore,361115.0,109.8,719.0,81.2,4.4,0.2,107.0,0.7,47.4,14673.0,85.5,91.2,78.9,1.6,3.2,326.0,5850.0,100.0,108.1,0.9,8357.6,88.2,62720.9,1.2
35,El Salvador,26057.0,88.0,21041.0,68.1,4.2,52.0,71.4,16.0,5.7,1677.0,77.5,31.1,27.5,14.6,2.5,107.0,6486.0,72.7,71.9,0.5,313.0,33.8,4058.2,2.1
36,Italy,2084882.0,94.9,302073.0,81.0,9.8,0.6,100.9,3.6,321.5,61567.0,85.4,71.5,53.0,2.6,0.8,482.0,60462.0,70.7,101.6,-0.0,205.6,74.4,34388.5,1.3
37,Bahrain,37876.0,183.1,771.0,76.2,0.8,0.5,101.7,1.0,29.8,12045.0,78.2,67.8,37.0,6.0,2.5,47.0,1702.0,89.4,95.8,4.3,2238.9,98.6,24133.5,2.0
38,Slovakia,105956.0,94.9,49035.0,73.7,5.1,1.1,91.6,2.1,32.2,2256.0,80.8,56.6,37.1,4.8,4.0,116.0,5460.0,53.7,90.5,0.1,113.5,80.7,19430.8,1.5
40,Poland,585661.0,94.0,312679.0,74.5,3.0,0.7,108.1,8.9,305.8,19622.0,82.4,81.9,54.4,3.3,5.1,95.0,37847.0,60.0,111.7,-0.1,123.6,77.5,15444.0,1.4
41,Uzbekistan,50500.0,99.6,448969.0,69.4,6.1,1.1,92.7,23.3,81.2,5346.0,73.6,8.2,11.8,20.8,5.1,62.0,33469.0,50.4,93.9,1.6,78.7,55.2,1555.0,2.4
42,Lithuania,53455.0,86.2,65286.0,70.0,6.3,4.6,106.0,6.6,10.8,2825.0,81.1,84.0,61.4,4.0,3.6,41.0,2722.0,67.9,110.6,-1.5,43.4,79.7,19082.5,1.7
43,Colombia,330228.0,96.5,1141748.0,74.2,9.7,25.3,100.1,16.5,75.3,3904.0,79.8,59.7,51.1,12.6,2.7,1025.0,50883.0,81.1,95.0,1.4,45.9,64.1,6649.6,1.8
44,Slovenia,54034.0,99.2,20273.0,78.2,3.8,0.5,117.1,5.1,13.4,4425.0,83.8,93.0,64.9,1.9,4.1,175.0,2079.0,54.8,114.2,0.1,103.2,79.8,26005.1,1.6
45,Nicaragua,13118.0,97.2,130373.0,70.6,7.4,7.2,78.0,30.6,5.1,1256.0,77.7,,,16.8,-3.8,161.0,6625.0,58.8,69.1,1.2,55.0,27.9,2028.9,2.4
70,Serbia,50597.0,96.0,88499.0,73.2,12.7,1.2,95.6,15.1,46.1,1711.0,78.4,78.3,56.7,4.9,4.4,86.0,8737.0,56.3,94.6,-0.3,99.9,73.4,7208.8,1.5
70,Serbia,50597.0,96.0,88499.0,73.2,12.7,1.2,95.6,15.1,46.1,1711.0,78.4,78.3,56.7,4.9,4.4,86.0,8737.0,56.3,94.6,-0.3,99.9,73.4,7208.8,1.5
47,Argentina,518475.0,95.3,2780400.0,73.0,10.4,5.3,111.0,0.1,183.4,6942.0,79.8,112.8,67.8,10.2,-2.5,285.0,45196.0,92.0,106.5,1.0,16.5,74.3,11687.6,2.3
48,Romania,239552.0,94.6,238391.0,72.4,3.9,1.3,91.4,21.3,70.8,11720.0,79.3,55.4,43.8,6.7,4.0,140.0,19238.0,54.1,91.1,-0.7,83.6,70.7,12280.8,1.6
49,Cyprus,24963.0,99.9,9251.0,78.6,7.2,1.3,99.5,2.0,6.4,3939.0,82.8,82.4,69.6,3.5,4.1,84.0,1207.0,66.8,101.1,0.8,130.7,84.4,28967.6,1.3
50,Ecuador,108398.0,100.1,257217.0,74.0,4.2,5.8,102.8,29.4,34.3,2535.0,79.6,48.4,41.5,13.6,1.4,2501.0,17643.0,64.0,100.1,1.7,71.0,57.3,6344.9,2.4
51,Kuwait,141698.0,157.9,17818.0,74.6,2.3,1.8,101.0,2.0,89.4,8508.0,76.4,76.1,35.8,7.1,1.2,57.0,4271.0,100.0,94.9,2.1,239.7,99.6,34248.8,2.1
52,Thailand,504992.0,94.8,513120.0,73.1,0.8,2.6,116.5,31.2,244.3,38178.0,80.6,57.8,41.0,7.8,4.1,674.0,69800.0,50.7,118.9,0.3,136.6,56.8,7273.6,1.5
53,Latvia,34426.0,85.5,64573.0,69.9,6.5,4.4,110.2,6.5,6.7,1946.0,79.8,105.1,72.0,3.3,4.6,40.0,1886.0,68.2,111.3,-1.1,30.3,83.6,17851.6,1.7
55,Estonia,30747.0,90.0,45227.0,74.0,5.4,2.1,118.9,3.1,16.0,3234.0,82.5,84.8,55.4,2.0,4.8,48.0,1326.0,69.1,116.2,0.2,31.3,89.4,23241.9,1.6
56,Jamaica,15714.0,98.5,10990.0,72.8,8.0,43.9,83.6,15.7,7.0,2473.0,75.9,34.7,19.9,11.8,1.9,323.0,2961.0,56.0,81.0,0.5,273.4,55.1,5354.3,2.0
57,Mauritius,14220.0,97.4,1969.0,71.4,6.7,2.9,97.8,5.9,4.2,1399.0,78.2,47.5,33.9,11.2,3.8,272.0,1272.0,40.8,92.5,0.2,626.5,58.6,11222.0,1.4
58,Japan,4971323.0,95.4,377930.0,81.3,2.3,0.3,,3.4,1132.4,31192.0,87.5,,,1.8,0.8,470.0,126476.0,91.7,,-0.2,346.9,91.3,39082.1,1.4
59,Honduras,23970.0,99.9,112492.0,72.7,5.2,38.9,55.9,30.1,9.4,851.0,77.3,30.3,22.2,15.0,3.7,342.0,9905.0,57.7,48.6,1.7,88.5,31.7,2500.1,2.5
60,Kazakhstan,179340.0,94.3,2724902.0,68.8,4.6,5.1,113.8,15.4,255.8,4560.0,77.4,68.4,55.4,7.7,4.1,81.0,18777.0,57.5,112.7,1.3,7.0,78.9,9789.5,2.8
62,Hungary,157883.0,90.8,93024.0,73.0,3.5,2.5,103.6,4.6,45.8,17552.0,80.1,53.9,43.3,4.1,5.1,123.0,9660.0,71.6,103.4,-0.2,106.7,76.1,16264.0,1.5
63,Paraguay,40307.0,103.3,406752.0,72.1,4.8,7.1,78.6,19.9,7.7,1181.0,76.2,40.9,28.6,19.0,4.0,67.0,7132.0,61.9,73.3,1.3,18.0,65.0,5794.6,2.4
65,Peru,222237.0,98.7,1285216.0,73.7,3.2,7.9,103.6,27.2,49.7,4419.0,79.2,72.7,68.7,12.8,4.0,819.0,32972.0,78.1,109.3,1.6,25.8,52.5,6947.3,2.3
66,Portugal,240792.0,89.8,92226.0,78.7,5.9,0.8,118.7,5.7,50.8,16186.0,84.6,67.7,60.1,3.0,2.4,465.0,10197.0,65.8,121.1,-0.3,111.3,74.7,23477.7,1.3
67,Pakistan,282346.0,106.0,796095.0,66.1,4.4,3.9,39.1,35.9,183.4,966.0,68.0,8.3,9.6,61.3,5.4,155.0,220892.0,36.9,45.9,2.0,286.5,15.5,1330.4,3.6
69,Philippines,330910.0,100.9,300000.0,67.1,2.2,6.5,90.6,22.5,126.5,7168.0,75.3,40.4,30.8,19.7,6.2,884.0,109581.0,47.1,82.0,1.4,367.5,60.1,3102.7,2.6
72,Libya,34377.0,101.9,1676198.0,69.9,18.6,,106.0,18.8,41.5,34.0,75.7,,,10.5,17.9,75.0,6871.0,80.4,90.2,1.4,3.9,21.8,5147.3,2.2
73,Montenegro,5507.0,97.8,13812.0,74.2,14.8,2.2,90.5,7.8,2.2,2077.0,79.1,64.9,47.9,2.8,5.1,113.0,628.0,67.2,89.3,0.0,46.7,71.5,8771.7,1.8
74,Tajikistan,7523.0,101.6,142600.0,68.6,11.0,1.6,83.8,44.2,5.8,1035.0,73.0,26.9,35.5,29.3,7.1,48.0,9538.0,27.3,93.0,2.4,68.1,22.0,826.6,3.6
