Overall rank,name,sex_ratio,unemployment,homicide_rate,infant_mortality,population,urban_population,region,pop_density,internet_users,fertility,refugees,life_expectancy_male,life_expectancy_female,primary_school_enrollment_female,primary_school_enrollment_male,secondary_school_enrollment_female,secondary_school_enrollment_male,post_secondary_enrollment_female,post_secondary_enrollment_male
1,Finland,97.3,6.7,1.6,1.7,5541,85.4,Northern Europe,18.2,88.9,1.5,35,78.8,84.5,99.9,100.4,161.5,146.8,95.7,81
2,Denmark,98.9,4.8,1,3.1,5792,88,Northern Europe,136.5,97.3,1.8,47.4,78.7,82.7,100.9,101.6,129.8,128.4,93.6,68.4
3,Norway,102.2,3.3,0.5,2.1,5421,82.6,Northern Europe,14.8,96.5,1.7,59.9,80.2,84.2,100.2,100.3,114.2,119.4,98.7,66.3
4,Iceland,100.9,3.2,0.9,1.3,341,93.9,Northern Europe,3.4,99,1.8,1.2,81.2,84.3,100.3,100.4,116.9,118.1,94.4,50.6
5,Netherlands,99.3,3,0.6,2.5,17135,91.9,Western Europe,508.2,94.7,1.7,109.1,80.3,83.8,104.2,104.2,136.5,134.7,90.9,79.3
6,Switzerland,98.5,4.8,0.6,3.4,8655,73.8,Western Europe,219,89.7,1.5,120.1,81.6,85.4,104.8,105.5,100.2,104.7,60.3,58.8
7,Sweden,100.4,6.7,1.1,2,10099,87.7,Northern Europe,24.6,92.1,1.8,310.4,80.8,84.4,127.4,125.8,157.9,148.1,82.1,52.7
8,New Zealand,96.7,4,0.7,3.8,4822,86.6,Oceania,18.3,90.8,1.9,2.6,80.3,83.8,100.2,99.8,118.2,111.1,97.2,67.9
9,Canada,98.5,5.4,1.8,4.5,37742,81.5,Northern America,4.2,91,1.5,189.8,80.2,84.2,100.8,101.1,114.5,113,79.3,59.1
10,Austria,97.2,4.8,1,3.2,9006,58.5,Western Europe,109.3,87.5,1.5,163.7,78.9,83.8,103,103.2,98.3,102.5,92.5,78.1
11,Australia,99.2,5.3,0.9,3.1,25500,86.1,Oceania,3.3,86.5,1.8,129.2,81.2,85.2,100.3,100.3,141.2,159,133.3,93.8
12,Costa Rica,99.8,12.7,11.3,7.3,5094,80.1,Central America,99.8,74.1,1.8,79.2,77.4,82.7,113.8,112.8,137.7,128.1,60.7,50
